Method:,double_shade_pso,Function:,Rotated_Hyper_Ellipsoid,NFE:,100000.0,Seed:,397285674
below threshold %,1.0
"
"
Method:,double_shade_bat,Function:,Ackley,NFE:,100000.0,Seed:,397285674
score within threshold,0.07181132121134072
score on contour,0.06769366970965009
min,-4.440892098500627e-16
pop,100
contour %,0.08469380981075036
below threshold %,0.094012
"
"
Method:,double_shade_bat,Function:,Ackley,NFE:,200000.0,Seed:,397285674
score within threshold,0.07134624969307582
score on contour,0.06721758857558614
min,-4.440892098500627e-16
pop,100
contour %,0.15585264469478005
below threshold %,0.17531
"
"
Method:,double_shade_bat,Function:,Ackley,NFE:,500000.0,Seed:,397285674
score within threshold,0.06939217948786125
score on contour,0.06576922036155092
min,-4.440892098500627e-16
pop,100
contour %,0.3402140165248741
below threshold %,0.377745
"
"
Method:,double_shade_bat,Function:,Himmelblau,NFE:,100000.0,Seed:,397285674
score within threshold,0.17716181969086262
score on contour,0.15337284279608862
min,0.0002724238577713
pop,100
contour %,0.3423507462686567
below threshold %,0.4195054583716954
"
"
Method:,double_shade_bat,Function:,Himmelblau,NFE:,200000.0,Seed:,397285674
score within threshold,0.1446123992119611
score on contour,0.13390144766618506
min,0.0002452025372615
pop,100
contour %,0.6977611940298507
below threshold %,0.812113639352887
"
"
Method:,double_shade_bat,Function:,Himmelblau,NFE:,500000.0,Seed:,397285674
score within threshold,0.10426994535202397
score on contour,0.10598984210485382
min,0.0002277663379299
pop,100
contour %,0.9117537313432836
below threshold %,0.9624490332763382
"
"
Method:,double_shade_bat,Function:,Rosenbrock,NFE:,100000.0,Seed:,397285674
score within threshold,2.720689888783754
score on contour,2.1932263400708334
min,0.0006218510618797
pop,100
contour %,0.972972972972973
below threshold %,0.8805309734513275
"
"
Method:,double_shade_bat,Function:,Rosenbrock,NFE:,200000.0,Seed:,397285674
score within threshold,1.6559153221612697
score on contour,1.1693051262328307
min,3.920594916114032e-05
pop,100
contour %,0.9459459459459459
below threshold %,0.9579646017699115
"
"
Method:,double_shade_bat,Function:,Rosenbrock,NFE:,500000.0,Seed:,397285674
score within threshold,1.2198504944363109
score on contour,1.2133253207105168
min,0.0006433531248947
pop,100
contour %,1.0
below threshold %,0.9668141592920354
"
"
Method:,double_shade_bat,Function:,Hartman_3D,NFE:,100000.0,Seed:,397285674
score within threshold,0.07636011675713206
score on contour,0.05215487122126236
min,0.0009962849740565
pop,100
contour %,0.10803190849690669
below threshold %,0.17474483082032166
"
"
Method:,double_shade_bat,Function:,Hartman_3D,NFE:,200000.0,Seed:,397285674
score within threshold,0.07471508872266927
score on contour,0.05354805365127791
min,9.702349210272132e-05
pop,100
contour %,0.1661032349443472
below threshold %,0.29489087420267107
"
"
Method:,double_shade_bat,Function:,Hartman_3D,NFE:,500000.0,Seed:,397285674
score within threshold,0.06961783795112993
score on contour,0.05130069825889412
min,0.0004254363735229
pop,100
contour %,0.3362017130105961
below threshold %,0.5735097784944899
"
"
Method:,double_shade_bat,Function:,Rastrigin,NFE:,100000.0,Seed:,397285674
score within threshold,2.395484738997681
score on contour,3.236689518984403
min,0.0
pop,100
contour %,0.39285714285714285
below threshold %,0.44166666666666665
"
"
Method:,double_shade_bat,Function:,Rastrigin,NFE:,200000.0,Seed:,397285674
score within threshold,1.9532904652917966
score on contour,2.6457256173756893
min,0.0
pop,100
contour %,0.8392857142857143
below threshold %,0.8722222222222222
"
"
Method:,double_shade_bat,Function:,Rastrigin,NFE:,500000.0,Seed:,397285674
score within threshold,0.464751625989696
score on contour,0.9494879355740344
min,0.0
pop,100
contour %,1.0
below threshold %,1.0
"
"
Method:,double_shade_bat,Function:,Levy,NFE:,100000.0,Seed:,397285674
score within threshold,0.2606371233192887
